year,reference_code,local_reference,objectID,title,collection,collection_canonical,currency,price,price_eur,market,url,url_full
2026,CRWJPN0092,WJPN0092,CRWJPN0092,Montre Panthère de Cartier,Panthère de Cartier,Panthère,EUR,37700.0,37700.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWJPN0092,https://www.cartier.com/fr-fr/product/CRWJPN0092
2026,CRWJPN0063,WJPN0063,CRWJPN0063,Montre Panthère de Cartier,Panthère de Cartier,Panthère,EUR,38000.0,38000.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWJPN0063,https://www.cartier.com/fr-fr/product/CRWJPN0063
2026,CRWGSA0018,WGSA0018,CRWGSA0018,Montre Santos de Cartier,Santos de Cartier,Santos,EUR,43600.0,43600.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWGSA0018,https://www.cartier.com/fr-fr/product/CRWGSA0018
2026,CRWHSA0030,WHSA0030,CRWHSA0030,Montre squelette Santos-Dumont équipée d’un micro-rotor,Santos de Cartier,Santos,EUR,43700.0,43700.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWHSA0030,https://www.cartier.com/fr-fr/product/CRWHSA0030
2026,CRWJPN0069,WJPN0069,CRWJPN0069,Montre Panthère De Cartier PM,Panthère de Cartier,Panthère,EUR,46100.0,46100.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWJPN0069,https://www.cartier.com/fr-fr/product/CRWJPN0069
2026,CRWJPN0061,WJPN0061,CRWJPN0061,Montre Panthère de Cartier,Panthère de Cartier,Panthère,EUR,48300.0,48300.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWJPN0061,https://www.cartier.com/fr-fr/product/CRWJPN0061
2026,CRHPI01381,HPI01381,CRHPI01381,Montre La Panthère de Cartier,La Panthère de Cartier,Panthère,EUR,51000.0,51000.0,fr-fr,https://www.cartier.com/fr-fr/product/CRHPI01381,https://www.cartier.com/fr-fr/product/CRHPI01381
2026,CRHPI01538,HPI01538,CRHPI01538,Montre La Panthère de Cartier,La Panthère de Cartier,Panthère,EUR,72000.0,72000.0,fr-fr,https://www.cartier.com/fr-fr/product/CRHPI01538,https://www.cartier.com/fr-fr/product/CRHPI01538
2026,CRWJPN0062,WJPN0062,CRWJPN0062,Montre Panthère de Cartier,Panthère de Cartier,Panthère,EUR,75000.0,75000.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWJPN0062,https://www.cartier.com/fr-fr/product/CRWJPN0062
2026,CRWHSA0016,WHSA0016,CRWHSA0016,Montre squelette Santos de Cartier,Santos de Cartier,Santos,EUR,76000.0,76000.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWHSA0016,https://www.cartier.com/fr-fr/product/CRWHSA0016
2026,CRHPI01442,HPI01442,CRHPI01442,Montre La Panthère de Cartier,La Panthère de Cartier,Panthère,EUR,89000.0,89000.0,fr-fr,https://www.cartier.com/fr-fr/product/CRHPI01442,https://www.cartier.com/fr-fr/product/CRHPI01442
2026,CRHPI01698,HPI01698,CRHPI01698,Montre Panthère de Cartier,Panthère de Cartier,Panthère,EUR,162000.0,162000.0,fr-fr,https://www.cartier.com/fr-fr/product/CRHPI01698,https://www.cartier.com/fr-fr/product/CRHPI01698
2026,CRW3BB0021,W3BB0021,CRW3BB0021,Montre Ballon Bleu de Cartier,Ballon Bleu de Cartier,Ballon Bleu,EUR,12900.0,12900.0,fr-fr,https://www.cartier.com/fr-fr/product/CRW3BB0021,https://www.cartier.com/fr-fr/product/CRW3BB0021
2026,CRW3BB0023,W3BB0023,CRW3BB0023,Montre Ballon Bleu de Cartier,Ballon Bleu de Cartier,Ballon Bleu,EUR,18400.0,18400.0,fr-fr,https://www.cartier.com/fr-fr/product/CRW3BB0023,https://www.cartier.com/fr-fr/product/CRW3BB0023
2026,CRWJBA0050,WJBA0050,CRWJBA0050,Montre Baignoire,Baignoire,Other,EUR,22200.0,22200.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWJBA0050,https://www.cartier.com/fr-fr/product/CRWJBA0050
2026,CRWGSA0096,WGSA0096,CRWGSA0096,Montre Santos-Dumont,Santos de Cartier,Santos,EUR,24400.0,24400.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWGSA0096,https://www.cartier.com/fr-fr/product/CRWGSA0096
