year,reference_code,collection_canonical,price,price_eur,currency,market,title,url
2026,CRWJBA0048,Other,31800.0,31800.0,EUR,fr-fr,Montre Baignoire,https://www.cartier.com/fr-fr/product/CRWJBA0048
2026,CRWJPN0094,Panthère,32200.0,32200.0,EUR,fr-fr,Montre Panthère de Cartier,https://www.cartier.com/fr-fr/product/CRWJPN0094
2026,CRWGSA0107,Santos,33300.0,33300.0,EUR,fr-fr,Montre Santos de Cartier,https://www.cartier.com/fr-fr/product/CRWGSA0107
2026,CRWGPN0051,Panthère,33500.0,33500.0,EUR,fr-fr,Montre Panthère de Cartier,https://www.cartier.com/fr-fr/product/CRWGPN0051
2026,CRWJPN0085,Panthère,35900.0,35900.0,EUR,fr-fr,Montre Panthère de Cartier,https://www.cartier.com/fr-fr/product/CRWJPN0085
2026,CRWJPN0090,Panthère,36200.0,36200.0,EUR,fr-fr,Montre Panthère de Cartier,https://www.cartier.com/fr-fr/product/CRWJPN0090
2026,CRWJBB0086,Ballon Bleu,30200.0,30200.0,EUR,fr-fr,Montre Ballon Bleu de Cartier,https://www.cartier.com/fr-fr/product/CRWJBB0086
2026,CRWJTA0061,Tank,36500.0,36500.0,EUR,fr-fr,Montre Tank Française,https://www.cartier.com/fr-fr/product/CRWJTA0061
2026,CRWGSA0030,Santos,38400.0,38400.0,EUR,fr-fr,Montre Santos de Cartier,https://www.cartier.com/fr-fr/product/CRWGSA0030
2026,CRWGPN0046,Panthère,42200.0,42200.0,EUR,fr-fr,Montre Panthère De Cartier PM,https://www.cartier.com/fr-fr/product/CRWGPN0046
2026,CRHPI01689,Other,43200.0,43200.0,EUR,fr-fr,Montre Tressage,https://www.cartier.com/fr-fr/product/CRHPI01689
2026,CRWGMC0003,Other,43400.0,43400.0,EUR,fr-fr,Montre Reflection de Cartier (Taille 15),https://www.cartier.com/fr-fr/product/CRWGMC0003
2026,CRWGSA0095,Santos,43600.0,43600.0,EUR,fr-fr,Montre Santos de Cartier,https://www.cartier.com/fr-fr/product/CRWGSA0095
2026,CRWGSA0029,Santos,43600.0,43600.0,EUR,fr-fr,Montre Santos de Cartier,https://www.cartier.com/fr-fr/product/CRWGSA0029
2026,CRWJPN0059,Panthère,48300.0,48300.0,EUR,fr-fr,Montre Panthère de Cartier,https://www.cartier.com/fr-fr/product/CRWJPN0059
2026,CRHPI01380,Panthère,51000.0,51000.0,EUR,fr-fr,Montre La Panthère de Cartier,https://www.cartier.com/fr-fr/product/CRHPI01380
2026,CRWJPN0060,Panthère,58500.0,58500.0,EUR,fr-fr,Montre Panthère de Cartier,https://www.cartier.com/fr-fr/product/CRWJPN0060
2026,CRHPI01526,Panthère,64000.0,64000.0,EUR,fr-fr,Montre La Panthère de Cartier,https://www.cartier.com/fr-fr/product/CRHPI01526
2026,CRWJCS0009,Other,71500.0,71500.0,EUR,fr-fr,Montre Coussin de Cartier,https://www.cartier.com/fr-fr/product/CRWJCS0009
2026,CRHPI01537,Panthère,72000.0,72000.0,EUR,fr-fr,Montre La Panthère de Cartier,https://www.cartier.com/fr-fr/product/CRHPI01537
2026,CRHPI01441,Panthère,89000.0,89000.0,EUR,fr-fr,Montre La Panthère de Cartier,https://www.cartier.com/fr-fr/product/CRHPI01441
2026,CRHPI01359,Panthère,150000.0,150000.0,EUR,fr-fr,Montre Joaillière Panthère,https://www.cartier.com/fr-fr/product/CRHPI01359
2026,CRWGSA0116,Santos,14600.0,14600.0,EUR,fr-fr,Montre Santos-Dumont,https://www.cartier.com/fr-fr/product/CRWGSA0116
2026,CRWGBA0081,Other,15900.0,15900.0,EUR,fr-fr,Montre Baignoire,https://www.cartier.com/fr-fr/product/CRWGBA0081
2026,CRWGBA0080,Other,15900.0,15900.0,EUR,fr-fr,Montre Baignoire,https://www.cartier.com/fr-fr/product/CRWGBA0080
2026,CRWGBB0052,Ballon Bleu,16800.0,16800.0,EUR,fr-fr,Montre Ballon Bleu de Cartier,https://www.cartier.com/fr-fr/product/CRWGBB0052
2026,CRWGSA0098,Santos,17400.0,17400.0,EUR,fr-fr,Montre Santos-Dumont,https://www.cartier.com/fr-fr/product/CRWGSA0098
2026,CRWGSA0028,Santos,18600.0,18600.0,EUR,fr-fr,Montre Santos de Cartier,https://www.cartier.com/fr-fr/product/CRWGSA0028
2026,CRWGTA0134,Tank,18800.0,18800.0,EUR,fr-fr,Montre Tank Américaine,https://www.cartier.com/fr-fr/product/CRWGTA0134
2026,CRWGSA0112,Santos,19400.0,19400.0,EUR,fr-fr,Montre Santos-Dumont,https://www.cartier.com/fr-fr/product/CRWGSA0112
2026,CRWJBA0053,Other,21400.0,21400.0,EUR,fr-fr,Montre Baignoire,https://www.cartier.com/fr-fr/product/CRWJBA0053
2026,CRWJTA0059,Tank,22200.0,22200.0,EUR,fr-fr,Montre Tank Américaine,https://www.cartier.com/fr-fr/product/CRWJTA0059
2026,CRWGSA0019,Santos,22400.0,22400.0,EUR,fr-fr,Montre Santos de Cartier,https://www.cartier.com/fr-fr/product/CRWGSA0019
2026,CRWJTA0037,Tank,22500.0,22500.0,EUR,fr-fr,Montre Tank Louis Cartier,https://www.cartier.com/fr-fr/product/CRWJTA0037
2026,CRWJBB0080,Ballon Bleu,26200.0,26200.0,EUR,fr-fr,Montre Ballon Bleu de Cartier,https://www.cartier.com/fr-fr/product/CRWJBB0080
