reference_code,local_reference,title,price,currency,url,collection,objectID
CRWJTA0037,WJTA0037,Montre Tank Louis Cartier,22500.0,EUR,https://www.cartier.com/fr-fr/product/CRWJTA0037,Tank,CRWJTA0037
CRWJBB0080,WJBB0080,Montre Ballon Bleu de Cartier,26200.0,EUR,https://www.cartier.com/fr-fr/product/CRWJBB0080,Ballon Bleu de Cartier,CRWJBB0080
CRWGPN0061,WGPN0061,Montre Panthère de Cartier,30500.0,EUR,https://www.cartier.com/fr-fr/product/CRWGPN0061,Panthère de Cartier,CRWGPN0061
CRWJPN0087,WJPN0087,Montre Panthère De Cartier PM,30800.0,EUR,https://www.cartier.com/fr-fr/product/CRWJPN0087,Panthère de Cartier,CRWJPN0087
CRWJPN0058,WJPN0058,Montre Panthère De Cartier PM,31700.0,EUR,https://www.cartier.com/fr-fr/product/CRWJPN0058,Panthère de Cartier,CRWJPN0058
CRWJPN0091,WJPN0091,Montre Panthère De Cartier PM,32200.0,EUR,https://www.cartier.com/fr-fr/product/CRWJPN0091,Panthère de Cartier,CRWJPN0091
CRWJTA0056,WJTA0056,Montre Tank Américaine,35300.0,EUR,https://www.cartier.com/fr-fr/product/CRWJTA0056,Tank,CRWJTA0056
CRWJPN0088,WJPN0088,Montre Panthère de Cartier,35900.0,EUR,https://www.cartier.com/fr-fr/product/CRWJPN0088,Panthère de Cartier,CRWJPN0088
CRWJPN0092,WJPN0092,Montre Panthère de Cartier,37700.0,EUR,https://www.cartier.com/fr-fr/product/CRWJPN0092,Panthère de Cartier,CRWJPN0092
CRWJPN0063,WJPN0063,Montre Panthère de Cartier,38000.0,EUR,https://www.cartier.com/fr-fr/product/CRWJPN0063,Panthère de Cartier,CRWJPN0063
CRWGSA0018,WGSA0018,Montre Santos de Cartier,43600.0,EUR,https://www.cartier.com/fr-fr/product/CRWGSA0018,Santos de Cartier,CRWGSA0018
CRWHSA0030,WHSA0030,Montre squelette Santos-Dumont équipée d’un micro-rotor,43700.0,EUR,https://www.cartier.com/fr-fr/product/CRWHSA0030,Santos de Cartier,CRWHSA0030
CRWJPN0069,WJPN0069,Montre Panthère De Cartier PM,46100.0,EUR,https://www.cartier.com/fr-fr/product/CRWJPN0069,Panthère de Cartier,CRWJPN0069
CRWJPN0061,WJPN0061,Montre Panthère de Cartier,48300.0,EUR,https://www.cartier.com/fr-fr/product/CRWJPN0061,Panthère de Cartier,CRWJPN0061
CRHPI01381,HPI01381,Montre La Panthère de Cartier,51000.0,EUR,https://www.cartier.com/fr-fr/product/CRHPI01381,La Panthère de Cartier,CRHPI01381
CRHPI01538,HPI01538,Montre La Panthère de Cartier,72000.0,EUR,https://www.cartier.com/fr-fr/product/CRHPI01538,La Panthère de Cartier,CRHPI01538
CRWJPN0062,WJPN0062,Montre Panthère de Cartier,75000.0,EUR,https://www.cartier.com/fr-fr/product/CRWJPN0062,Panthère de Cartier,CRWJPN0062
CRWHSA0016,WHSA0016,Montre squelette Santos de Cartier,76000.0,EUR,https://www.cartier.com/fr-fr/product/CRWHSA0016,Santos de Cartier,CRWHSA0016
CRHPI01442,HPI01442,Montre La Panthère de Cartier,89000.0,EUR,https://www.cartier.com/fr-fr/product/CRHPI01442,La Panthère de Cartier,CRHPI01442
CRHPI01698,HPI01698,Montre Panthère de Cartier,162000.0,EUR,https://www.cartier.com/fr-fr/product/CRHPI01698,Panthère de Cartier,CRHPI01698
CRW3BB0021,W3BB0021,Montre Ballon Bleu de Cartier,12900.0,EUR,https://www.cartier.com/fr-fr/product/CRW3BB0021,Ballon Bleu de Cartier,CRW3BB0021
CRW3BB0023,W3BB0023,Montre Ballon Bleu de Cartier,18400.0,EUR,https://www.cartier.com/fr-fr/product/CRW3BB0023,Ballon Bleu de Cartier,CRW3BB0023
CRWJBA0050,WJBA0050,Montre Baignoire,22200.0,EUR,https://www.cartier.com/fr-fr/product/CRWJBA0050,Baignoire,CRWJBA0050
CRWGSA0096,WGSA0096,Montre Santos-Dumont,24400.0,EUR,https://www.cartier.com/fr-fr/product/CRWGSA0096,Santos de Cartier,CRWGSA0096
CRWGTA0296,WGTA0296,Montre Tank Américaine,26200.0,EUR,https://www.cartier.com/fr-fr/product/CRWGTA0296,Tank,CRWGTA0296
CRWGTA0297,WGTA0297,Montre Tank Américaine,26400.0,EUR,https://www.cartier.com/fr-fr/product/CRWGTA0297,Tank,CRWGTA0297
CRWHSA0009,WHSA0009,Montre squelette Santos de Cartier,32900.0,EUR,https://www.cartier.com/fr-fr/product/CRWHSA0009,Santos de Cartier,CRWHSA0009
CRWJBA0049,WJBA0049,Montre Baignoire,33600.0,EUR,https://www.cartier.com/fr-fr/product/CRWJBA0049,Baignoire,CRWJBA0049
CRWHSA0027,WHSA0027,Montre squelette Santos de Cartier,34100.0,EUR,https://www.cartier.com/fr-fr/product/CRWHSA0027,Santos de Cartier,CRWHSA0027
CRWJPN0070,WJPN0070,Montre Panthère de Cartier,36500.0,EUR,https://www.cartier.com/fr-fr/product/CRWJPN0070,Panthère de Cartier,CRWJPN0070
CRWJBA0046,WJBA0046,Montre Baignoire,43200.0,EUR,https://www.cartier.com/fr-fr/product/CRWJBA0046,Baignoire,CRWJBA0046
CRWJSA0014,WJSA0014,Montre Santos de Cartier,49700.0,EUR,https://www.cartier.com/fr-fr/product/CRWJSA0014,Santos de Cartier,CRWJSA0014
CRWJTA0068,WJTA0068,Montre Tank Américaine,54000.0,EUR,https://www.cartier.com/fr-fr/product/CRWJTA0068,Tank,CRWJTA0068
CRWJBA0060,WJBA0060,Montre Baignoire,72000.0,EUR,https://www.cartier.com/fr-fr/product/CRWJBA0060,Baignoire,CRWJBA0060
CRHPI01690,HPI01690,Montre Tressage,82000.0,EUR,https://www.cartier.com/fr-fr/product/CRHPI01690,Tressage,CRHPI01690
CRHPI01719,HPI01719,Montre Panthère de Cartier,91000.0,EUR,https://www.cartier.com/fr-fr/product/CRHPI01719,Panthère de Cartier,CRHPI01719
CRHPI01693,HPI01693,Montre Tressage,132000.0,EUR,https://www.cartier.com/fr-fr/product/CRHPI01693,Tressage,CRHPI01693
CRHPI01722,HPI01722,Montre Panthère de Cartier,144000.0,EUR,https://www.cartier.com/fr-fr/product/CRHPI01722,Panthère de Cartier,CRHPI01722
CRHPI01691,HPI01691,Montre Tressage,144000.0,EUR,https://www.cartier.com/fr-fr/product/CRHPI01691,Tressage,CRHPI01691
CRHPI01358,HPI01358,Montre Joaillière Panthère,161000.0,EUR,https://www.cartier.com/fr-fr/product/CRHPI01358,Panthère Jewelry Watches,CRHPI01358
CRHPI01775,HPI01775,Montre Joaillière Panthère,240000.0,EUR,https://www.cartier.com/fr-fr/product/CRHPI01775,Panthère Jewelry Watches,CRHPI01775
CRHPI01774,HPI01774,Montre Joaillière Panthère,252000.0,EUR,https://www.cartier.com/fr-fr/product/CRHPI01774,Panthère Jewelry Watches,CRHPI01774
CRHPI01776,HPI01776,Montre Joaillière Panthère,266000.0,EUR,https://www.cartier.com/fr-fr/product/CRHPI01776,Panthère Jewelry Watches,CRHPI01776
