reference_code,title,price,currency,url,collection,objectID
,,,EUR,,,CRB4052900
,,"7,200€",EUR,,,CRW2SA0036
,,"9,550€",EUR,,,CRW2PN0018
,,"10,500€",EUR,,,CRW2SA0034
,,"12,200€",EUR,,,CRW2SA0016
,,"21,000€",EUR,,,CRWGBA0025
,,"32,800€",EUR,,,CRWJTA0062
,,"37,700€",EUR,,,CRWJPN0093
,,"278,000€",EUR,,,CRHPI01777
,,,EUR,,,CRWGMC0004
,,"15,000€",EUR,,,CRN6730817
,,"17,300€",EUR,,,CRWJTA0058
,,"29,400€",EUR,,,CRWJBA0042
,,"29,900€",EUR,,,CRWJTA0057
,,"47,300€",EUR,,,CRWJBA0006
,,,EUR,,,CRWGMC0005
,,"6,750€",EUR,,,CRW2SA0038
,,"7,200€",EUR,,,CRW2SA0037
,,"10,700€",EUR,,,CRW2BB0032
,,"16,100€",EUR,,,CRW3PN0015
,,"45,000€",EUR,,,CRWJTA0067
,,"50,500€",EUR,,,CRWJBA0007
,,"62,500€",EUR,,,CRHPI01773
,,"68,500€",EUR,,,CRWJTA0060
,,"84,000€",EUR,,,CRHPI01701
,,,EUR,,,CRB4240000
,,520€,EUR,,,CRL5000639
,,520€,EUR,,,CRL5000636
,,620€,EUR,,,CRL5000708
,,620€,EUR,,,CRL5000696
,,130€,EUR,,,CR65100037
,,152€,EUR,,,CRFS100016
,,162€,EUR,,,CR65100043
,,162€,EUR,,,CR65100036
,,130€,EUR,,,CR66100032
,,130€,EUR,,,CR66100029
,,130€,EUR,,,CR65100038
,,150€,EUR,,,CR66100039
,,162€,EUR,,,CR66100033
,,174€,EUR,,,CRFS100015
,,174€,EUR,,,CRFP327040
,,183€,EUR,,,CRFS100017
,,183€,EUR,,,CRFP100030
,,"1,060€",EUR,,,CRB8301423
,,1410,EUR,,,CRB4085000
,,"1,780€",EUR,,,CRB8301255
,,"2,110€",EUR,,,CRB6091000
,,"2,290€",EUR,,,CRB8028800
,,2610,EUR,,,CRB4056100
